376	544	646
140	230	251
376	544	617
64	231	387
396	418	589
42	384	393
170	187	488
107	126	546
258	393	445
62	169	341
128	338	532
273	434	595
347	376	646
340	427	517
152	593	657
167	242	531
64	79	267
63	413	537
212	291	588
282	377	564
140	575	585
89	342	464
29	111	601
167	189	218
58	301	397
15	30	187
68	357	482
481	639	655
187	371	567
153	216	523
99	291	292
48	181	188
15	271	451
444	538	632
62	251	478
8	196	588
49	73	185
49	382	449
22	95	625
282	377	565
116	213	521
15	30	99
163	441	574
165	370	529
176	185	279
446	502	538
427	553	606
34	234	314
91	135	379
116	258	521
91	135	389
198	245	455
156	432	537
306	359	628
208	234	630
199	276	470
99	134	146
101	238	348
84	250	285
52	451	630
222	312	472
222	283	312
183	282	565
49	328	449
166	539	605
200	352	591
282	456	564
206	403	566
44	497	636
91	370	617
198	502	538
502	513	581
358	421	557
128	366	481
243	347	495
44	143	325
123	211	586
163	403	533
83	470	635
1	508	606
201	340	517
245	281	638
193	317	418
222	283	299
111	320	444
355	508	606
234	314	498
152	159	657
7	41	618
169	311	573
199	427	470
187	190	404
184	290	301
135	347	370
104	415	552
52	77	636
215	264	614
91	223	379
48	263	418
94	370	561
274	421	620
168	283	312
156	449	499
77	558	636
561	614	617
444	541	638
95	328	449
347	614	646
134	187	330
42	54	521
99	330	545
42	412	505
1	199	508
97	346	474
64	231	267
296	549	632
189	416	523
7	590	616
7	126	546
165	376	646
60	209	457
170	187	567
296	444	632
62	478	575
135	389	561
222	234	498
9	399	594
60	111	265
255	407	472
16	536	549
338	639	655
22	94	614
85	315	522
222	225	472
154	220	257
264	405	544
58	84	426
311	451	573
64	292	608
99	146	488
183	241	647
58	170	486
5	257	357
376	561	646
104	426	644
7	278	298
114	419	500
73	102	162
182	328	356
175	193	342
12	13	471
388	446	484
215	223	264
145	271	464
99	170	397
245	362	388
111	173	601
92	228	301
260	393	454
383	424	454
183	417	450
338	429	639
153	216	500
12	462	533
396	464	651
95	382	449
